Pin	Pin name	STM32 pin
8	D7	PA8
7	PWM/D6	PB10
6	PWM/D5	PB4
5	D4	PB5
4	PWM/D3	PB3
3	D2	PA10
2	TX/D1	PA2 / PC4
1	RX/D0	PA3 / PC5
