Pin	Pin name	Signal name	STM32 pin	Function
1	A0	ADC	PA3	ADC12_INP15
2	D51	USART_B_SCLK	PD7	USART_2
3	A1	ADC	PC0	ADC123_INP10
4	D52	USART_B_RX	PD6	USART_2
5	A2	ADC	PC3	ADC12_INP13
6	D53	USART_B_TX	PD5	USART_2
7	A3	ADC	PB1	ADC12_INP5
8	D54	USART_B_RTS	PD4	USART_2
9	A4	ADC	PC2/PB9	ADC123_INP12/I2C1_SDA
10	D55	USART_B_CTS	PD3	USART_2
11	A5	ADC	"PF10/ PB8 "	ADC3_INP6/ I2C1_SCL
12	GND	GND	-	-
13	D72	COMP1_INP	PB2	COMP1_INP
14	D56	SAI_A_MCLK	PE2(1)	SAI_1_A
15	D71	COMP2_INP	PE9	COMP2_INP
16	D57	SAI_A_FS	PE4	SAI_1_A
17	D70	I2C_B_SMBA	PF2	I2C2
18	D58	SAI_A_SCK	PE5	SAI_1_A
19	D69	I2C_B_SCL	PF1	I2C2
20	D59	SAI_A_SD	PE6	SAI_1_A
21	D68	I2C_B_SDA	PF0	I2C2
22	D60	SAI_B_SD	PE3	SAI_1_B
23	GND	GND	-	-
24	D61	SAI_B_SCK	PF8	SAI_1_B
25	D67	CAN_RX	PD0	CAN_1
26	D62	SAI_B_MCLK	PF7	SAI_1_B
27	D66	CAN_TX	PD1	CAN_1
28	D63	SAI_B_FS	PF9	SAI_1_B
29	D65	I/O	PG0	-
30	D64	I/O	PG1	-
