Pin	Pin name	Signal name	STM32 pin	Function
1	NC	NC	-	-
2	D43	SDMMC_D0	PC8	SDMMC
3	IOREF	IOREF	-	3.3 V reference
4	D44	SDMMC_D1 I2S_A_CKIN	PC9	SDMMC I2S_CKIN
5	NRST	NRST	NRST	RESET
6	D45	SDMMC_D2	PC10	SDMMC
7	3V3	3V3	-	3.3 V input/output
8	D46	SDMMC_D3	PC11	SDMMC
9	5V	5V	-	5 V output
10	D47	SDMMC_CK	PC12	SDMMC
11	GND	GND	-	ground
12	D48	SDMMC_CMD	PD2	SDMMC
13	GND	GND	-	ground
14	D49	I/O	PG2	-
15	VIN	VIN	-	Power input
16	D50	I/O	PG3	-
